gross_margin,net_margin,revenue_growth,cost_growth,current_ratio,debt_to_equity,opex_ratio,ebit_margin,asset_turnover,negative_equity,size_bucket_large,size_bucket_micro,size_bucket_mid,size_bucket_small,profit_regime_breakeven,profit_regime_loss,profit_regime_profitable,leverage_tier_high,leverage_tier_low,leverage_tier_med,growth_stage_high_growth,growth_stage_shrinking,growth_stage_stable
0.577788,-0.3255133,0.29036418,0.16386344,1.793902,1.1518607,0.8897502,-0.3119622,0.9802677,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.4338841,0.17349839,0.87740314,0.70263505,2.5121763,0.7178598,0.20407917,0.22980495,1.4740797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.8846596,-2.7003777,0.600552,0.29814082,4.720061,0.2588336,3.8383017,-2.9536421,0.18391065,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.4040146,0.029545018,0.89637566,0.3707024,3.8325984,0.4562172,0.27579474,0.12821986,0.5057276,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.3029177,0.042539734,0.01983711,0.019755654,1.7931654,0.8426461,0.2334941,0.06942358,1.4693854,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.60342366,0.03951748,0.27519628,0.27664152,1.291362,1.2760247,0.5391546,0.06426909,0.4651355,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.69917125,-0.58207613,0.14508778,-0.17429717,2.1988804,3.265058,1.161371,-0.46219975,0.7513932,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.6068073,-0.37321535,-0.12578613,-0.2534681,1.0915799,0.64882445,0.9641518,-0.35734454,0.8432439,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.5026965,0.1484046,0.1550497,0.1297735,3.902049,0.2826674,0.39242,0.11027654,0.9720392,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.2364577,0.011533236,-0.043002896,-0.002661541,2.572447,0.9021161,0.22295037,0.0135073485,0.64880174,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
